"url","id","label","label_it","label_en","label_de","level"
"01","01","Produzioni vegetali e animali, caccia e servizi connessi","Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","2"
"011","01.1","Coltivazione di colture agricole non permanenti","Coltivazione di colture agricole non permanenti","Growing of non-perennial crops","Anbau ein- und zweijähriger Pflanzen","3"
"0111","01.11","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds","Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten","4"
"01110","01.11.0","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds","Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten","5"
"011100","01.11.00","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds","Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten","6"
"0112","01.12","Coltivazione di riso","Coltivazione di riso","Growing of rice","Anbau von Reis","4"
"01120","01.12.0","Coltivazione di riso","Coltivazione di riso","Growing of rice","Anbau von Reis","5"
"011200","01.12.00","Coltivazione di riso","Coltivazione di riso","Growing of rice","Anbau von Reis","6"
"0113","01.13","Coltivazione di ortaggi e meloni, radici e tuberi","Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen","4"
"01131","01.13.1","Coltivazione di ortaggi e meloni","Coltivazione di ortaggi e meloni","Growing of vegetables and melons","Anbau von Gemüse und Melonen","5"
"011311","01.13.11","Coltivazione di ortaggi e meloni in piena aria","Coltivazione di ortaggi e meloni in piena aria","Growing of vegetables and melons in open fields","Freilandanbau von Gemüse und Melonen","6"
"011312","01.13.12","Coltivazione di ortaggi e meloni in colture protette fuori suolo","Coltivazione di ortaggi e meloni in colture protette fuori suolo","Growing of vegetables and melons in greenhouses as soil-less culture","Geschützter erdeloser Anbau von Gemüse und Melonen","6"
"011313","01.13.13","Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo","Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo","Growing of vegetables and melons in greenhouses, other than soil-less culture","Geschützter Anbau von Gemüse und Melonen, ausgenommen erdeloser Anbau","6"
"01132","01.13.2","Coltivazione di radici, incluse barbabietole da zucchero","Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet","Anbau von Wurzeln, einschließlich Zuckerrüben","5"
"011320","01.13.20","Coltivazione di radici, incluse barbabietole da zucchero","Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet","Anbau von Wurzeln, einschließlich Zuckerrüben","6"
"01133","01.13.3","Coltivazione di tuberi, incluse patate","Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes","Anbau von Knollen, einschließlich Kartoffeln","5"
"011330","01.13.30","Coltivazione di tuberi, incluse patate","Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes","Anbau von Knollen, einschließlich Kartoffeln","6"
"0114","01.14","Coltivazione di canna da zucchero","Coltivazione di canna da zucchero","Growing of sugar cane","Anbau von Zuckerrohr","4"
"01140","01.14.0","Coltivazione di canna da zucchero","Coltivazione di canna da zucchero","Growing of sugar cane","Anbau von Zuckerrohr","5"
"011400","01.14.00","Coltivazione di canna da zucchero","Coltivazione di canna da zucchero","Growing of sugar cane","Anbau von Zuckerrohr","6"
"0115","01.15","Coltivazione di tabacco","Coltivazione di tabacco","Growing of tobacco","Anbau von Tabak","4"
"01150","01.15.0","Coltivazione di tabacco","Coltivazione di tabacco","Growing of tobacco","Anbau von Tabak","5"
"011500","01.15.00","Coltivazione di tabacco","Coltivazione di tabacco","Growing of tobacco","Anbau von Tabak","6"
"0116","01.16","Coltivazione di piante tessili","Coltivazione di piante tessili","Growing of fibre crops","Anbau von Faserpflanzen","4"
